Hello World: process 0 of 4, thread 0 of 8, running on comp001
Hello World: process 0 of 4, thread 2 of 8, running on comp001
Hello World: process 0 of 4, thread 6 of 8, running on comp001
Hello World: process 0 of 4, thread 3 of 8, running on comp001
Hello World: process 0 of 4, thread 7 of 8, running on comp001
Hello World: process 0 of 4, thread 1 of 8, running on comp001
Hello World: process 0 of 4, thread 4 of 8, running on comp001
Hello World: process 3 of 4, thread 0 of 8, running on comp002
Hello World: process 3 of 4, thread 1 of 8, running on comp002
Hello World: process 3 of 4, thread 3 of 8, running on comp002
Hello World: process 3 of 4, thread 6 of 8, running on comp002
Hello World: process 3 of 4, thread 7 of 8, running on comp002
Hello World: process 1 of 4, thread 0 of 8, running on comp001
Hello World: process 1 of 4, thread 7 of 8, running on comp001
Hello World: process 1 of 4, thread 5 of 8, running on comp001
Hello World: process 1 of 4, thread 3 of 8, running on comp001
Hello World: process 1 of 4, thread 1 of 8, running on comp001
Hello World: process 1 of 4, thread 6 of 8, running on comp001
Hello World: process 1 of 4, thread 2 of 8, running on comp001
Hello World: process 1 of 4, thread 4 of 8, running on comp001
Hello World: process 3 of 4, thread 5 of 8, running on comp002
Hello World: process 3 of 4, thread 2 of 8, running on comp002
Hello World: process 3 of 4, thread 4 of 8, running on comp002
Hello World: process 2 of 4, thread 0 of 8, running on comp002
Hello World: process 2 of 4, thread 5 of 8, running on comp002
Hello World: process 2 of 4, thread 4 of 8, running on comp002
Hello World: process 2 of 4, thread 1 of 8, running on comp002
Hello World: process 2 of 4, thread 2 of 8, running on comp002
Hello World: process 2 of 4, thread 3 of 8, running on comp002
Hello World: process 2 of 4, thread 7 of 8, running on comp002
Hello World: process 2 of 4, thread 6 of 8, running on comp002
Hello World: process 0 of 4, thread 5 of 8, running on comp001
